[2025-11-08 11:31:30] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 11:31:30] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 11:31:31] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 11:31:31] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 11:32:01] IP: 127.0.0.1 | Método: GET | Ruta: /test?nombre=juan` | Respuesta: 404
[2025-11-08 11:32:01] IP: 127.0.0.1 | Método: GET | Ruta: /404style.css | Respuesta: 200
[2025-11-08 11:33:33] IP: 127.0.0.1 | Método:  | Ruta:  | Respuesta: 405
[2025-11-08 11:47:15] IP: 127.0.0.1 | POST /index.html | Datos: {
    "id": "1234",
    "name": "santiago"
}
[2025-11-08 11:47:15] IP: 127.0.0.1 | Método: POST | Ruta: /index.html | Respuesta: 200
[2025-11-08 11:56:15] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 11:56:15] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 11:56:15] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 11:56:15] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:05:05] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:05:05] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:05:06] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 12:05:06] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:22:34] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:22:34] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:22:34] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 12:22:34] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:24:06] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:24:06] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:24:07] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 12:24:07] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:25:39] IP: 127.0.0.1 | Método:  | Ruta:  | Respuesta: 405
[2025-11-08 12:30:00] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:30:00] IP: 127.0.0.1 | Método: GET | Ruta: /.well-known/appspecific/com.chrome.devtools.json | Respuesta: 404
[2025-11-08 12:30:05] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:30:05] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:30:06] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 12:30:06] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:30:06] IP: 127.0.0.1 | Método: GET | Ruta: /.well-known/appspecific/com.chrome.devtools.json | Respuesta: 404
[2025-11-08 12:30:06] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:30:06] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:30:06] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 12:30:06] IP: 127.0.0.1 | Método: GET | Ruta: /.well-known/appspecific/com.chrome.devtools.json | Respuesta: 404
[2025-11-08 12:30:06] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:30:07] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:30:07] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:30:07] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 12:30:07] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:30:07] IP: 127.0.0.1 | Método: GET | Ruta: /.well-known/appspecific/com.chrome.devtools.json | Respuesta: 404
[2025-11-08 12:30:27] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:30:28] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:30:28] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:30:28] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
